Amount Injected,Peak Area,Analyte
2.5,6191.58,Ligation Product
5,52354.03,Ligation Product
10,175293.9,Ligation Product
20,429836.2,Ligation Product
2.5,7818.53,Ligation Product
5,43475.76,Ligation Product
10,172469.1,Ligation Product
20,401583.8,Ligation Product
40,873402.1,Ligation Product
2.5,11916.31,Ligation Product
5,36436.71,Ligation Product
10,167596.8,Ligation Product
20,382893.9,Ligation Product
40,866877.7,Ligation Product
2.5,5467.63,7mer
5,26082.44,7mer
10,57750.84,7mer
20,131481.6,7mer
40,269046.6,7mer
2.5,6527.9,7mer
5,16733.62,7mer
10,70403.12,7mer
20,137665.7,7mer
40,263388.9,7mer
2.5,6752.73,7mer
5,15222.17,7mer
10,58994.06,7mer
20,121289.2,7mer
40,244652.8,7mer