Sample,Oligo Length,Peak Area,Type
1,7,5666287.22,Standard
1,9,4052534.7,Standard
1,13,5771510.8,Standard
2,7,5737102.55,Standard
2,9,4070919.46,Standard
2,13,5973143.01,Standard
3,7,5784131.41,Standard
3,9,4106455.07,Standard
3,13,5963413.11,Standard
1,7,13804257.95,Modified
1,9,8023832.32,Modified
1,13,12030208.05,Modified
2,7,13434781.05,Modified
2,9,9247862.35,Modified
2,13,12279459.95,Modified
3,7,10602968.96,Modified
3,9,8866765.8,Modified
3,13,11517328.9,Modified
1,7,5308938.81,Unmodified
1,9,5905008.78,Unmodified
1,13,4404330.89,Unmodified
2,7,4677624.1,Unmodified
2,9,5544191.41,Unmodified
2,13,3976435.44,Unmodified
3,7,4777179.13,Unmodified
3,9,5533162.51,Unmodified
3,13,4077331.14,Unmodified